cluster,keyword,intent,suggest_score,volume_proxy,difficulty_proxy,monetization,cpc_class,fit,already_targeted,priority_score,recommended_action
AIStackCost,ai tools for freelancers,Commercial comparison,3,72,35,5,High,6,0,97.8,Create support page
BudgetReset,free printable monthly bill calendar pdf,Printable/checklist,5,76,29,4,Med,6,0,95.3,Create support page
BudgetReset,monthly bill calendar free printable,Printable/checklist,5,76,29,4,Med,6,0,95.3,Create support page
BudgetReset,monthly bill calendar template free pdf,Template/download,5,76,29,4,Med,6,0,95.3,Create support page
AIStackCost,best free ai tools for freelancers,Commercial comparison,3,56,29,5,High,6,0,94.9,Create support page
AIStackCost,free ai tools for freelancers,Commercial comparison,3,56,29,5,High,6,0,94.9,Create support page
AIStackCost,top 10 ai tools for freelancers,Commercial comparison,3,56,29,5,High,6,0,94.9,Create support page
AIStackCost,the 17 best ai tools for freelancers in 2026,Commercial comparison,3,64,41,5,High,6,0,92.5,Create support page
BudgetReset,monthly bill calendar printable free,Printable/checklist,5,76,37,4,Med,6,0,91.9,Create support page
BudgetReset,monthly bill calendar template free,Template/download,5,76,37,4,Med,6,0,91.9,Create support page
MoveBudget,moving cost calculator no email,Tool/calculator,4,66,29,4,Med-High,6,0,91.1,Create support page
BudgetReset,biweekly paycheck budget template google sheets free,Template/download,5,58,29,4,Med,6,0,89.1,Create support page
BudgetReset,free printable monthly bills calendar template,Template/download,5,58,29,4,Med,6,0,89.1,Create support page
AIStackCost,ai marketing tools for freelancers,Commercial comparison,3,38,29,5,High,6,0,88.7,Create support page
AIStackCost,ai productivity tools for freelancers,Commercial comparison,3,38,29,5,High,6,0,88.7,Create support page
MoveBudget,free printable first apartment budget worksheet,Template/download,5,58,29,4,Med-High,6,0,88.3,Create support page
MoveBudget,free printable first apartment budget worksheet pdf,Template/download,5,58,29,4,Med-High,6,0,88.3,Create support page
MealPlanSheet,editable grocery list template google sheets,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template excel free,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template excel free download word,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template free editable,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template free editable excel,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template free editable pdf,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template free editable pdf free download,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template free editable pdf word,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template free editable word,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template free pdf,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template free printable,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template free printable pdf,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template google sheets free,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template google sheets free download,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template pdf free,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
MealPlanSheet,grocery list template pdf free download,Template/download,5,76,29,3,Low-Med,6,0,87.7,Create support page
